Server PID = 2215
1 132 13.3 .10
2 132 20.0 .15
3 131 20.0 .15
4 131 13.3 .10
5 131 20.0 .15
6 130 13.3 .10
7 133 6.7 .05
8 129 13.3 .10
9 129 13.3 .10
10 127 20.0 .15
11 126 20.0 .15
12 130 13.3 .10
13 131 13.3 .10
14 131 18.8 .14
15 128 20.0 .15
16 128 20.0 .15
17 129 26.7 .20
18 130 6.7 .05
19 132 13.3 .10
20 133 20.0 .15
21 134 20.0 .14
22 135 20.0 .14
23 133 18.8 .14
24 132 6.2 .04
25 133 6.7 .05
26 136 13.3 .09
27 136 20.0 .14
28 133 26.7 .20
29 134 20.0 .14
30 132 13.3 .10
31 134 13.3 .09
32 132 13.3 .10
33 130 6.7 .05
34 131 6.7 .05
35 130 26.7 .20
36 131 20.0 .15
37 130 13.3 .10
38 129 13.3 .10
39 131 20.0 .15
40 131 26.7 .20
41 132 26.7 .20
42 131 20.0 .15
43 131 26.7 .20
44 129 20.0 .15
45 134 20.0 .14
46 133 25.0 .18
47 133 20.0 .15
48 135 26.7 .19
49 133 13.3 .10
50 132 25.0 .18
51 134 20.0 .14
52 136 20.0 .14
53 138 20.0 .14
54 137 20.0 .14
55 136 26.7 .19
56 137 13.3 .09
57 137 26.7 .19
58 137 33.3 .24
59 137 13.3 .09
60 136 20.0 .14
61 139 13.3 .09
62 138 13.3 .09
63 140 20.0 .14
64 140 13.3 .09
65 138 20.0 .14
66 138 20.0 .14
67 136 20.0 .14
68 136 13.3 .09
69 137 26.7 .19
70 137 20.0 .14
71 137 13.3 .09
72 136 26.7 .19
73 136 13.3 .09
74 136 20.0 .14
75 135 26.7 .19
76 135 20.0 .14
77 136 26.7 .19
78 134 20.0 .14
79 135 26.7 .19
80 135 18.8 .13
81 136 26.7 .19
82 136 20.0 .14
83 136 13.3 .09
84 137 13.3 .09
85 138 6.7 .04
86 139 13.3 .09
87 140 20.0 .14
88 139 13.3 .09
89 140 26.7 .19
90 139 20.0 .14
91 140 20.0 .14
92 141 26.7 .18
93 143 13.3 .09
94 142 13.3 .09
95 143 26.7 .18
96 143 20.0 .13
97 143 20.0 .13
98 143 40.0 .27
99 144 20.0 .13
100 145 20.0 .13
101 142 20.0 .14
102 143 26.7 .18
103 143 20.0 .13
104 143 26.7 .18
105 144 20.0 .13
106 142 20.0 .14
107 141 13.3 .09
108 141 12.5 .08
109 141 20.0 .14
110 140 6.7 .04
111 140 13.3 .09
112 141 20.0 .14
113 142 20.0 .14
114 141 13.3 .09
115 140 13.3 .09
116 140 20.0 .14
117 139 13.3 .09
118 138 20.0 .14
119 138 6.7 .04
120 138 13.3 .09
121 138 26.7 .19
122 138 20.0 .14
123 139 13.3 .09
124 140 13.3 .09
125 139 18.8 .13
126 138 13.3 .09
127 138 13.3 .09
128 139 25.0 .17
129 138 20.0 .14
130 136 13.3 .09
131 137 13.3 .09
132 136 18.8 .13
133 134 20.0 .14
134 137 6.7 .04
