Server PID = 2441
1 127 33.3 .26
2 125 26.7 .21
3 122 26.7 .21
4 122 33.3 .27
5 121 33.3 .27
6 122 26.7 .21
7 122 33.3 .27
8 124 40.0 .32
9 123 40.0 .32
10 123 26.7 .21
11 123 26.7 .21
12 123 26.7 .21
13 123 26.7 .21
14 122 33.3 .27
15 126 26.7 .21
16 127 20.0 .15
17 126 46.7 .37
18 127 13.3 .10
19 129 33.3 .25
20 132 33.3 .25
21 128 33.3 .26
22 129 33.3 .25
23 127 33.3 .26
24 127 40.0 .31
25 126 40.0 .31
26 127 40.0 .31
27 127 40.0 .31
28 125 33.3 .26
29 128 26.7 .20
30 127 26.7 .21
31 126 33.3 .26
32 128 33.3 .26
33 129 33.3 .25
34 129 26.7 .20
35 128 26.7 .20
36 127 33.3 .26
37 127 33.3 .26
38 129 33.3 .25
39 129 33.3 .25
40 129 40.0 .31
41 129 26.7 .20
42 129 26.7 .20
43 129 26.7 .20
44 129 20.0 .15
45 130 40.0 .30
46 128 26.7 .20
47 128 26.7 .20
48 129 26.7 .20
49 129 40.0 .31
50 127 33.3 .26
51 126 33.3 .26
52 125 33.3 .26
53 125 26.7 .21
54 125 26.7 .21
55 127 20.0 .15
56 127 20.0 .15
57 127 33.3 .26
58 128 26.7 .20
59 129 33.3 .25
60 127 20.0 .15
61 128 33.3 .26
62 126 40.0 .31
63 127 40.0 .31
64 127 33.3 .26
65 128 33.3 .26
66 129 26.7 .20
67 129 31.2 .24
68 128 40.0 .31
69 128 33.3 .26
70 129 26.7 .20
71 131 46.7 .35
72 130 26.7 .20
73 133 33.3 .25
74 133 40.0 .30
75 135 20.0 .14
76 132 26.7 .20
77 134 26.7 .19
78 135 40.0 .29
79 136 26.7 .19
80 136 40.0 .29
81 136 26.7 .19
82 136 31.2 .22
83 135 26.7 .19
84 136 26.7 .19
85 136 26.7 .19
86 136 33.3 .24
87 136 26.7 .19
88 137 33.3 .24
89 135 33.3 .24
90 134 26.7 .19
91 135 31.2 .23
92 137 26.7 .19
93 135 33.3 .24
94 135 40.0 .29
95 135 20.0 .14
96 135 33.3 .24
97 136 40.0 .29
98 137 40.0 .29
99 138 26.7 .19
100 138 33.3 .24
101 137 26.7 .19
102 137 40.0 .29
103 136 26.7 .19
104 138 33.3 .24
105 140 40.0 .28
106 139 40.0 .28
